participant,1,2,3,4,5,6,7,8,9,10
Frances,FAVE,NEXT,FAVE,NEXT,NEXT,FAVE,SB,LOW,FAVE,WINNER
Kimberley,NEXT,FAVE,NEXT,SB,LOW,NEXT,NEXT,FAVE,SB,Runner Up
Ruby,LOW,SB,NEXT,NEXT,LOW,SB,NEXT,SB,LOW,Runner Up
Beca,NEXT,LOW,NEXT,NEXT,NEXT,NEXT,FAVE,LOW,OUT,
Christine,NEXT,NEXT,SB,NEXT,SB,NEXT,LOW,OUT,,
Glenn,NEXT,NEXT,NEXT,LOW,FAVE,LOW,OUT,,,
Howard,FAVE,NEXT,LOW,LOW,LOW,OUT,,,,
Robert,SB,LOW,NEXT,LOW,OUT,,,,,
Ali,LOW,NEXT,NEXT,OUT,,,,,,
Deborah,NEXT,NEXT,OUT,,,,,,,
Mark,NEXT,LOW,OUT,,,,,,,
Lucy,NEXT,OUT,,,,,,,,
Toby,OUT,,,,,,,,,
