"participant","201","202","203","204","205","206","207","208","209","210"
"Heather","BoW","WIN","WIN","LOSE","WIN","WIN","IN","BoW","IN","WINNER"
"Virginia","NOM","WIN","WIN","NOM","BoW","NOM","NOM","NOM","NOM","RUNNER-UP"
"Keith","WIN","LOSE","LOSE","BoW","WIN","WIN","BoW","IN","OUT",
"Sara","LOSE","WIN","WIN","BoW","LOSE","NOM","IN","OUT",,
"Garrett","WIN","BoW","LOSE","LOSE","WIN","WIN","OUT",,,
"Maribel","LOSE","WIN","WIN","LOSE","NOM","OUT",,,,
"Rachel","LOSE","WIN","WIN","NOM","OUT",,,,,
"Tom","WIN","NOM","NOM","OUT",,,,,,
"Giacomo","WIN","NOM","OUT",,,,,,,
"Gabe","WIN","OUT",,,,,,,,
"Larry","WIN","LEFT",,,,,,,,
"Polly","OUT",,,,,,,,,
