"participant","Age","Occupation","Hometown"
"Francesco ""Frank"" Bilotti","26","Executive Chef","Staten Island, New York"
"Fernando Cruz","28","Executive Chef","La Quinta, California"
"Sade Dancy","25","Lead Line Cook","Philadelphia, Pennsylvania"
"John Paul ""JP"" DeDominicis","28","Kitchen Manager","Boston, Massachusetts"
"Rowan ""Roe"" DiLeo","33","Head Chef","Dallas, Texas"
"Bryant Gallaher","29","Lead Line Cook","Virginia Beach, Virginia"
"Denine Giordano","23","Culinary Student","Philadelphia, Pennsylvania"
"Aaron Lhamon","28","Lead Line Cook","Maynard, Massachusetts"
"La Tasha McCutchen","33","Kitchen Supervisor","Winter Haven, Florida"
"Katherine ""Katie"" McKeown","23","Line Cook","Dallas, Texas"
"Kalen Morgenstern","32","Sous Chef","River Oaks, Texas"
"James ""JR"" Robinson","29","Private Chef","Washington, D.C."
"Steven ""Steve"" Rosenthal","34","Executive Chef","Detroit, Michigan"
"Jennifer Salhoff","33","Private Chef","Philadelphia, Pennsylvania"
"Brian ""Santos"" Santos","33","Sous Chef","Boston, Massachusetts"
"Ashley Sherman","29","Lead Line Cook","Bethlehem, Pennsylvania"
"Janai Simpson","24","Chef de Partie","LaGrange, Georgia"
"Sterling Wright","40","Grill Chef","Nashville, Tennessee"
