"participant","Age","Hometown","Occupation","Status","Winnings"
"Courtney Lapresi","25","Philadelphia, Pennsylvania","Aerial Dancer","Winner September 15","10"
"Elizabeth Cauvel","31","Brooklyn, New York","Advertising Executive","Runner-Up September 15","12"
"Leslie Gilliams","56","Malibu, California","Stay-at-home Dad","Eliminated September 15","5"
"Joshua ""Cutter"" Brewer","33","Beaumont, Texas","Petroleum Landman","Eliminated September 8","4"
"Christian Green","29","New Orleans, Louisiana","Sales Rep","2",
"Jaimee Vitolo","23","Queens, New York","Bakery Assistant","Eliminated September 1","5"
"William ""Willie"" Mike","25","Houston, Texas","Church Music Director","Eliminated August 25","3"
"Daniel McGuffey","32","Los Angeles, California","Former Video Game Designer","Eliminated August 18","2"
"Ahran Cho","18","Palo Alto, California","High School Student","Eliminated August 11","4"
"Victoria Scroggins","35","San Angelo, Texas","Bartender","4",
"Francis Legge","34","New York City, New York","Music Video Director","Eliminated August 4","4"
"Christine Silverstein","31","Yonkers, New York","Investment Director","Eliminated July 28","3"
"Elisa ""Elise"" Mayfield","28","Birmingham, Alabama","e-Learning Administrator","Eliminated July 21","2"
"Daniel ""Dan"" Wu","39","Lexington, Kentucky","Unemployed","Eliminated July 14","1"
"Francis Biondi","25","Orlando, Florida","Server","Eliminated July 7","2"
"Tyler Viars","27","Wilmington, Ohio","Hunting Sales Manager","Disqualified June 30","1"
"Jordan Kaminski","19","Muskego, Wisconsin","College Student","Eliminated June 23","0"
"Kira Novak","31","Youngstown, Ohio","Medical Recruiter","Eliminated June 16","1"
"Gordon Houston","30","Irvine, California","Law Student","Withdrew June 16","0"
"Stephani Syfax-Shepherd","25","Detroit, Michigan","Server","Eliminated June 9","0"
"Whitney Bray","28","Columbus, Ohio","Call Center Rep","Eliminated June 2","0"
"Astrid Lavenia","41","Mandeville, Louisiana","Food Sales Rep","0",
