"participant","1","2","3","4","5","6","8","9"
"BeBe Zahara Benet","SAFE","SAFE",,"HIGH","BTM2",,"Winner","Guest"
"Nina Flowers",,"HIGH","HIGH","HIGH","LOW","HIGH","Runner-up","Miss C"
"Rebecca Glasscock","LOW","HIGH","SAFE","BTM2",,"BTM2","Eliminated","Guest"
"Shannel","SAFE","HIGH","BTM2","LOW","HIGH","ELIM",,"Guest"
"Ongina","HIGH",,"HIGH",,"ELIM",,,"Guest"
"Jade","SAFE","SAFE","LOW","ELIM",,,,"Guest"
"Akashia","BTM2","BTM2","ELIM",,,,,"Guest"
"Tammie Brown","SAFE","ELIM",,,,,,"Guest"
"Victoria ""Porkchop"" Parker","ELIM",,,,,,,"Guest"
